NAME,ID,SEX,InfWean,IWDATE,"SEXMat (0-no, 1- yes, 3, not yet/censored)",SMDATE,EndDate,Dead (1) or Gone/ALIVE (0),Died W Mom,TAKEOVER BEFORE SEXM,TAKEOVER DATE 1,TAKEOVER DATE 2,TAKEOVER DATE 3,TAKEOVER DATE 4,TAKEOVER DATE 5,TAKEOVER DATE 6,TAKEOVER DATE 7,TAKEOVER DATE 8,DOB,MOM,MomCyst,,,,,,,,,
Sean,SEA,M,1,4/4/08,1,6/14/14,12/26/15,0,NA,,,,,,,,,,10/24/07,Debra,0,,,,,,,,,
Cisco,CIS,M,1,4/12/08,3,NA,4/12/08,0,NA,,,,,,,,,,11/12/06,Betty,0,,,,,,,,,
Moira,MOI,F,1,5/3/08,1,9/7/11,12/26/15,0,NA,Y,4/22/08,8/15/11,,,,,,,7/12/07,Monica,0,,,,,,,,,
Bronte,BRO,F,1,5/9/08,1,6/4/11,12/26/15,0,NA,Y,7/24/09,,,,,,,,11/12/06,Birtha,0,,,,,,,,,
Bimbi,BIM,F,1,5/9/08,1,5/4/12,12/26/15,0,NA,Y,7/24/09,,,,,,,,5/7/07,Bryonny,0,,,,,,,,,
Waxy,WAX,F,1,5/9/08,1,UN,6/26/08,0,NA,,,,,,,,,,4/12/07,Wafer,0,,,,,,,,,
Zilch,ZIL,M,1,5/10/08,1,3/1/12,3/1/12,0,NA,,,,,,,,,,3/31/07,Zamboni,0,,,,,,,,,
Zorro,ZOR,M,1,5/10/08,1,1/10/14,1/10/14,0,NA,,,,,,,,,,3/31/07,Zaybar,0,,,,,,,,,
Buffy,BUF,F,1,5/17/08,1,4/17/13,12/26/15,0,NA,Y,7/24/09,4/5/13,,,,,,,9/3/08,Barbara,0,,,,,,,,,
Niva,NIV,M,1,5/17/08,3,NA,UN,0,NA,,,,,,,,,,1/25/07,Lada,0,,,,,,,,,
Rasta,RAS,F,1,5/19/08,1,7/27/11,1/31/13,0,NA,Y,6/6/11,,,,,,,,3/12/07,Rita,0,,,,,,,,,
Red,RED,F,1,5/19/08,1,7/27/11,1/31/13,0,NA,Y,6/6/11,,,,,,,,12/5/06,Ruby,0,,,,,,,,,
Zen,ZEN,M,1,5/30/08,1,1/10/14,1/10/14,0,NA,,,,,,,,,,4/22/07,Zion,0,,,,,,,,,
Lucky,LUC,M,1,6/6/08,3,NA,UN,0,NA,,,,,,,,,,7/14/07,Heksie,0,,,,,,,,,
Oasis,OAS,M,1,8/14/08,1,12/20/11,12/20/11,0,NA,,,,,,,,,,9/10/07,Zimbaba,0,,,,,,,,,
Kofi,KOF,M,1,8/14/08,3,NA,UN,0,NA,,,,,,,,,,7/17/07,Buna,0,,,,,,,,,
Irons,IRO,M,1,2/11/09,3,NA,UN,0,NA,,,,,,,,,,8/14/07,Lolita,0,,,,,,,,,
Rikola,RIK,F,1,2/24/09,1,7/27/11,1/31/13,0,NA,Y,6/6/11,,,,,,,,7/10/07,Ricki,0,,,,,,,,,
Elias,ELI,M,1,3/10/09,1,4/5/13,12/26/15,0,NA,,,,,,,,,,6/7/07,Trudy,0,,,,,,,,,
Zebra,ZEB,F,1,3/22/09,1,2/10/13,12/26/15,0,NA,,,,,,,,,,7/2/07,Zoo,0,,,,,,,,,
Nuts,NUT,M,1,3/22/09,3,NA,UN,0,NA,,,,,,,,,,7/4/07,Ginger,1,,,,,,,,,
Grub,GRU,M,1,3/23/09,1,7/14/13,7/14/13,0,NA,,,,,,,,,,5/23/07,Gladys,0,,,,,,,,,
Fawcett,FAW,F,1,3/31/09,3,NA,7/16/10,0,NA,Y,6/17/09,,,,,,,,10/27/07,Farrah,0,,,,,,,,,
Vex,VEX,M,1,4/9/09,1,6/14/14,12/26/15,0,NA,,,,,,,,,,12/1/07,Vye,0,,,,,,,,,
Ant,ANT,F,1,4/14/09,1,9/26/12,12/26/15,0,NA,Y,4/15/09,,,,,,,,12/16/08,Ani,0,,,,,,,,,
Thief,THI,M,1,4/28/09,3,NA,UN,0,NA,,,,,,,,,,1/14/08,Roz,0,,,,,,,,,
Sprite,SPR,M,1,4/29/09,3,NA,UN,0,NA,,,,,,,,,,11/24/07,Fantine,0,,,,,,,,,
Gaia,GAI,F,1,5/5/09,1,11/6/11,12/26/15,0,NA,Y,10/19/09,2/25/10,,,,,,,10/24/07,Greta,1,,,,,,,,,
Tater,TAT,F,1,5/8/09,1,6/14/11,12/26/15,0,NA,Y,8/8/09,2/26/10,,,,,,,5/15/07,Tubby,0,,,,,,,,,
Tipi,TIP,F,1,5/8/09,1,9/7/11,12/26/15,0,NA,Y,8/8/09,2/26/10,4/3/12,,,,,,6/18/07,Tail,0,,,,,,,,,
Levi,LEV,M,1,5/18/09,3,NA,UN,0,NA,,,,,,,,,,6/19/08,Lisa,0,,,,,,,,,
Bella,BEL,F,1,7/10/09,3,NA,6/17/11,0,NA,Y,7/24/09,,,,,,,,8/14/08,Bombolino,0,,,,,,,,,
Boytjie,BOY,M,1,10/28/09,1,UN,12/26/15,0,NA,,,,,,,,,,11/24/07,Glenda,0,,,,,,,,,
Ghost,GHO,F,1,10/29/09,1,6/2/12,12/26/15,0,NA,Y,10/19/09,2/25/10,,,,,,,10/24/07,Gypsy,0,,,,,,,,,
Baggins,BAG,M,1,2/13/10,3,NA,12/26/15,0,NA,,,,,,,,,,9/9/08,Tea,0,,,,,,,,,
Gonzo,GON,M,1,2/15/10,1,10/3/13,10/3/13,0,NA,,,,,,,,,,1/8/09,Meena,0,,,,,,,,,
Thumper,THU,F,1,2/18/10,1,4/20/14,12/26/15,0,NA,Y,8/8/09,2/26/10,4/3/12,,,,,,8/5/09,Top,0,,,,,,,,,
Djembe,DJE,M,1,3/3/10,3,NA,1/31/13,0,NA,Y,5/27/12,,,,,,,,2/23/08,Lorna,0,,,,,,,,,
Gob,GOB,M,1,4/5/10,1,12/5/13,12/5/13,0,NA,,,,,,,,,,3/29/08,Tiny,0,,,,,,,,,
Xavier,XAV,M,1,4/9/10,1,11/16/14,12/26/15,0,NA,Y,5/27/14,7/31/14,,,,,,,1/8/09,Zamboni,0,,,,,,,,,
Domino,DOM,M,1,4/15/10,1,1/30/13,12/26/15,0,NA,,,,,,,,,,12/12/08,Moo,0,,,,,,,,,
Munchkin,MUN,F,1,4/15/10,1,6/5/13,12/26/15,0,NA,Y,1/12/10,8/15/11,2/22/13,3/20/13,5/15/13,,,,2/1/09,Mimi,0,,,,,,,,,
Mojo,MOJ,M,1,4/15/10,1,11/5/14,12/26/15,0,NA,,,,,,,,,,2/3/09,Mary,1,,,,,,,,,
Dixy,DIX,F,1,4/21/10,1,3/9/15,12/26/15,0,NA,,,,,,,,,,1/14/09,Debra,0,,,,,,,,,
Boggle,BOG,M,1,5/14/10,3,NA,5/14/10,0,NA,,,,,,,,,,1/26/09,Rita,0,,,,,,,,,
Dolly,DOL,F,1,5/15/10,1,2/25/15,12/26/15,0,NA,,,,,,,,,,9/3/09,Delia,1,,,,,,,,,
Potter,POT,M,1,5/19/10,3,NA,UN,0,NA,,,,,,,,,,1/16/08,Loo,0,,,,,,,,,
Toronto,TOR,M,1,8/7/10,3,NA,12/26/15,0,NA,,,,,,,,,,11/13/09,Trudy,0,,,,,,,,,
Clover,CLO,F,1,10/5/10,1,4/13/14,12/26/15,0,NA,Y,5/30/12,6/1/12,8/31/13,,,,,,2/20/09,Cassie,0,,,,,,,,,
Nubbin,NUB,M,1,1/25/11,1,5/18/13,5/18/13,0,NA,,,,,,,,,,12/13/08,Nardos,0,,,,,,,,,
Hobbit,HOB,M,1,2/8/11,3,NA,UN,0,NA,,,,,,,,,,9/14/09,Hope,1,,,,,,,,,
Zoe,ZOE,F,1,2/27/11,1,6/10/14,12/26/15,0,NA,Y,5/28/14,,,,,,,,10/2/09,Zoo,0,,,,,,,,,
Lizzy,LIZ,F,1,3/4/11,3,NA,1/31/13,0,NA,Y,10/30/11,3/20/12,5/27/12,,,,,,9/10/09,Lee,0,,,,,,,,,
Biera,BIE,F,1,3/5/11,1,1/3/15,12/26/15,0,NA,Y,4/5/13,,,,,,,,4/12/10,Barbara,0,,,,,,,,,
Rbt,RBT,F,1,3/5/11,3,NA,1/31/13,0,NA,Y,6/6/11,,,,,,,,9/28/09,Ricki,0,,,,,,,,,
Haile,HAI,M,1,3/5/11,3,NA,UN,0,NA,,,,,,,,,,10/1/09,Hester,0,,,,,,,,,
Amelia,AME,F,1,3/25/11,1,5/12/14,12/26/15,0,NA,Y,3/1/13,,,,,,,,2/8/10,Aiwa,0,,,,,,,,,
Dale,DAL,M,1,3/25/11,3,NA,12/26/15,0,NA,Y,3/15/15,3/19/15,3/28/15,,,,,,5/4/09,Dessie,0,,,,,,,,,
Clymax,CLY,M,1,3/29/11,1,1/14/15,12/26/15,0,NA,Y,2/29/12,,,,,,,,3/1/10,Carmen,0,,,,,,,,,
Cynthia,CYN,F,1,3/29/11,1,4/13/15,12/26/15,0,NA,Y,3/6/11,3/23/11,12/1/11,2/29/12,5/21/12,9/20/14,,,1/24/10,Cali,1,,,,,,,,,
Eric,ERI,M,1,4/4/11,3,NA,12/26/15,0,NA,Y,2/29/12,,,,,,,,1/15/10,Cee,0,,,,,,,,,
Reese,REE,F,1,4/5/11,3,NA,1/31/13,0,NA,Y,6/6/11,,,,,,,,7/7/09,Ruby,0,,,,,,,,,
Obama,OBA,M,1,4/5/11,3,NA,UN,0,NA,,,,,,,,,,3/12/09,Hershey,0,,,,,,,,,
Indigo,IND,M,1,4/5/11,3,NA,UN,0,NA,,,,,,,,,,2/10/09,Hickory,0,,,,,,,,,
Isaac,ISA,M,1,4/9/11,3,NA,12/26/15,0,NA,Y,2/29/12,,,,,,,,7/9/10,Coco,0,,,,,,,,,
Joker,JOK,M,1,4/18/11,3,NA,12/26/15,0,NA,Y,10/24/14,,,,,,,,11/19/09,Jinka,0,,,,,,,,,
Lekker,LEK,M,1,5/22/11,3,NA,UN,0,NA,,,,,,,,,,8/22/09,Lolita,0,,,,,,,,,
Hye,HYE,F,1,6/8/11,3,NA,1/31/13,0,NA,,,,,,,,,,10/15/09,Heksie,0,,,,,,,,,
Cuervo,CUE,M,1,6/9/11,3,NA,12/26/15,0,NA,Y,2/29/12,,,,,,,,9/30/10,Corona,0,,,,,,,,,
Daisy,DAI,F,1,6/15/11,1,3/5/15,12/26/15,0,NA,,,,,,,,,,10/18/09,Dawn,0,,,,,,,,,
Ian,IAN,M,1,6/18/11,3,NA,UN,0,NA,,,,,,,,,,2/10/09,Hupu,0,,,,,,,,,
Zirzir,ZIR,M,1,6/21/11,3,NA,12/26/15,0,NA,Y,5/27/14,7/31/14,,,,,,,11/16/09,Zee,0,,,,,,,,,
Autumn,AUT,F,1,6/27/11,3,NA,12/26/15,0,NA,Y,3/1/13,3/18/15,,,,,,,9/11/10,Ani,0,,,,,,,,,
Zoudu,ZOU,M,1,6/29/11,3,NA,12/26/15,0,NA,Y,5/27/14,7/31/14,,,,,,,10/5/09,Zion,0,,,,,,,,,
Mambo,MAM,F,1,7/12/11,1,3/18/15,12/26/15,0,NA,Y,3/20/12,2/23/13,5/15/13,7/20/13,8/11/13,,,,10/5/10,Midge,0,,,,,,,,,
Omar,OMA,M,1,7/12/11,3,NA,12/26/15,0,NA,Y,2/22/13,5/10/13,,,,,,,10/21/10,Maze,0,,,,,,,,,
Rafiki,RAF,M,1,7/27/11,3,NA,UN,0,NA,,,,,,,,,,8/26/10,Roz,0,,,,,,,,,
Rhett,RHE,M,1,8/1/11,3,NA,UN,0,NA,,,,,,,,,,11/4/08,Roo,0,,,,,,,,,
Maitai,MAI,F,1,8/15/11,1,1/18/15,12/26/15,0,NA,Y,8/15/11,3/20/12,2/23/13,5/15/13,,,,,10/18/10,Meena,0,,,,,,,,,
Dill,DIL,M,1,10/18/11,3,NA,12/26/15,0,NA,Y,3/15/15,3/19/15,3/28/15,,,,,,10/29/10,Debra,0,,,,,,,,,
Miagi,MIA,M,1,10/25/11,3,NA,12/26/15,0,NA,Y,2/22/13,5/10/13,,,,,,,9/23/10,Muppet,0,,,,,,,,,
Licorice,LIC,F,1,11/23/11,3,NA,1/31/13,0,NA,Y,10/30/11,3/20/12,5/27/12,,,,,,9/28/10,Lisa,0,,,,,,,,,
Hug,HUG,F,1,12/10/11,3,NA,1/31/13,0,NA,,,,,,,,,,4/27/09,Hon,1,,,,,,,,,
Byork,BYO,F,1,2/21/12,1,4/14/15,12/26/15,0,NA,Y,4/5/13,,,,,,,,7/16/10,Beatrice,1,,,,,,,,,
Bongo,BON,M,1,3/17/12,3,NA,3/17/12,0,NA,,,,,,,,,,5/11/10,Bryonny,0,,,,,,,,,
Loba,LOB,F,1,3/20/12,3,NA,1/31/13,0,NA,Y,10/30/11,3/20/12,5/27/12,,,,,,6/3/11,Loo,0,,,,,,,,,
Gavin,GAV,M,1,4/1/12,3,NA,12/26/15,0,NA,,,,,,,,,,9/23/10,Grace,1,,,,,,,,,
Twiggy,TWI,F,1,4/16/12,1,6/1/15,12/26/15,0,NA,Y,4/3/12,,,,,,,,11/14/10,Tea,0,,,,,,,,,
Horatio,HOR,M,1,4/17/12,3,NA,12/26/15,0,NA,,,,,,,,,,6/30/11,Tess,0,,,,,,,,,
Zerbert,ZER,F,1,4/25/12,1,5/5/15,12/26/15,0,NA,Y,5/28/14,7/31/14,,,,,,,10/16/10,Zamboni,0,,,,,,,,,
Tickle,TIC,F,1,6/8/12,3,NA,12/26/15,0,NA,Y,4/3/12,,,,,,,,3/14/11,Taffy,0,,,,,,,,,
Bossy,BOS,F,1,6/18/12,1,12/17/14,12/26/15,0,NA,Y,4/5/13,,,,,,,,9/25/10,Brindle,0,,,,,,,,,
Waggle-dance,WAG,M,1,6/28/12,3,NA,12/26/15,0,NA,Y,4/5/13,,,,,,,,9/29/10,Bee,0,,,,,,,,,
Hewhoshallnotbenamed,HEW,M,1,8/22/12,3,NA,12/26/15,0,NA,,,,,,,,,,10/8/10,Glenda,0,,,,,,,,,
Pip,PIP,M,1,10/5/12,3,NA,12/26/15,0,NA,,,,,,,,,,10/30/10,Gladys,0,,,,,,,,,
Tempest,TEM,M,1,10/17/12,3,NA,12/26/15,0,NA,,,,,,,,,,7/19/11,TukTuk,0,,,,,,,,,
Blomkvist,BLO,M,1,11/21/12,3,NA,12/26/15,0,NA,,,,,,,,,,11/27/10,Gypsy,0,,,,,,,,,
Doppler,DOP,M,1,11/28/12,3,NA,12/26/15,0,NA,Y,3/15/15,3/19/15,3/28/15,,,,,,10/4/11,Delia,0,,,,,,,,,
Odysseus,ODY,M,1,3/1/13,3,NA,10/16/14,0,NA,Y,11/24/12,3/28/13,11/24/12,3/28/13,,,,,9/2/11,Omi,0,,,,,,,,,
Avatar,AVA,F,1,3/9/13,3,NA,12/26/15,0,NA,Y,3/1/13,3/18/15,,,,,,,9/25/11,Aiwa,0,,,,,,,,,
Agamemmnon,AGA,M,1,3/9/13,3,NA,12/26/15,0,NA,Y,3/1/13,3/18/15,,,,,,,12/28/11,Ani,0,,,,,,,,,
Dante,DAN,M,1,3/13/13,3,NA,12/26/15,0,NA,Y,4/5/13,,,,,,,,12/20/11,Bronte,0,,,,,,,,,
Vimto,VIM,M,1,4/12/13,3,NA,12/26/15,0,NA,,,,,,,,,,1/17/12,Vespa,0,,,,,,,,,
Von Striver,VON,F,1,5/3/13,3,NA,12/26/15,0,NA,,,,,,,,,,1/29/12,Vampire,0,,,,,,,,,
Zylo,ZYL,F,1,5/10/13,3,NA,12/26/15,0,NA,Y,5/28/14,7/31/14,,,,,,,6/7/12,Zee,0,,,,,,,,,
Doodah,DOO,M,1,5/16/13,3,NA,12/26/15,0,NA,Y,5/27/14,7/31/14,,,,,,,9/18/11,Zipadee,0,,,,,,,,,
Kaleidescope,KAL,F,1,5/24/13,3,NA,12/26/15,0,NA,Y,3/23/14,,,,,,,,8/24/11,Kima,0,,,,,,,,,
Borneo,BOR,F,1,6/5/13,3,NA,12/26/15,0,NA,Y,4/5/13,,,,,,,,1/28/12,Beverly,0,,,,,,,,,
Myce,MYC,M,1,7/2/13,3,NA,12/26/15,0,NA,Y,2/22/13,5/10/13,,,,,,,10/29/12,Mouse,0,,,,,,,,,
Mickey,MIC,F,1,8/15/13,3,NA,12/26/15,0,NA,Y,2/22/13,7/20/13,8/11/13,,,,,,6/5/12,Madeline,0,,,,,,,,,
Mei,MEI,F,1,8/15/13,3,NA,12/26/15,0,NA,Y,7/20/13,8/11/13,,,,,,,8/7/12,Moo,0,,,,,,,,,
Jack Sparrow,JAC,M,1,1/10/14,3,NA,12/26/15,0,NA,,,,,,,,,,10/15/11,Nadia,0,,,,,,,,,
Flying Dutchman,FLY,M,1,1/10/14,3,NA,12/26/15,0,NA,,,,,,,,,,12/13/11,Nardos,0,,,,,,,,,
Neptune,NEP,M,1,1/10/14,3,NA,12/26/15,0,NA,,,,,,,,,,3/28/12,Noggin,0,,,,,,,,,
Zsolt,ZSO,M,1,1/10/14,3,NA,12/26/15,0,NA,Y,5/27/14,7/31/14,,,,,,,10/24/12,Zamboni,0,,,,,,,,,
Zephyr,ZEP,M,1,1/10/14,3,NA,12/26/15,0,NA,Y,5/27/14,7/19/14,,,,,,,7/27/12,Zara,0,,,,,,,,,
Caesar,CAE,M,1,1/27/14,3,NA,12/26/15,0,NA,Y,8/31/13,9/5/13,,,,,,,1/29/13,Cassie,0,,,,,,,,,
Virga,VIR,F,1,2/21/14,3,NA,12/26/15,0,NA,,,,,,,,,,11/8/11,Violet,0,,,,,,,,,
Cauliflower,CAU,F,1,2/27/14,3,NA,12/26/15,0,NA,Y,9/22/14,,,,,,,,2/8/13,Cee,1,,,,,,,,,
Vladmir,VLA,M,1,3/22/14,3,NA,12/26/15,0,NA,,,,,,,,,,6/11/12,Vivien,0,,,,,,,,,
Gizmo,GIZ,M,1,3/22/14,3,NA,12/26/15,0,NA,,,,,,,,,,2/24/12,Vye,0,,,,,,,,,
Kondrashov,KON,F,1,4/13/14,3,NA,12/26/15,0,NA,Y,3/23/14,,,,,,,,11/10/12,Keegle,0,,,,,,,,,
Toadkiller Dog,TOA,M,1,4/15/14,3,NA,12/26/15,0,NA,,,,,,,,,,12/20/11,Valerie,0,,,,,,,,,
Qalada,QAL,F,1,4/20/14,3,NA,12/26/15,0,NA,,,,,,,,,,2/23/13,Qtip,1,,,,,,,,,
Onyxia,ONY,F,1,4/24/14,3,NA,6/1/15,0,NA,Y,11/24/12,3/28/13,11/24/12,3/28/13,,,,,10/14/12,Okidoki,0,,,,,,,,,
Caiperinha,CAI,F,1,4/26/14,3,NA,12/26/15,0,NA,,,,,,,,,,6/1/13,Corona,0,,,,,,,,,
Gursha,GUR,M,1,4/30/14,3,NA,12/26/15,0,NA,,,,,,,,,,7/14/13,Gypsy,0,,,,,,,,,
Tot,TOT,M,1,5/3/14,3,NA,12/26/15,0,NA,,,,,,,,,,2/9/13,Tater,0,,,,,,,,,
Drogo,DRO,M,1,5/13/14,3,NA,12/26/15,0,NA,Y,3/15/15,3/19/15,3/28/15,,,,,,5/28/13,Debra,1,,,,,,,,,
Othello,OTH,M,1,5/19/14,3,NA,6/1/15,0,NA,,,,,,,,,,8/15/13,Omily,0,,,,,,,,,
Tehol,TEH,M,1,5/19/14,3,NA,12/26/15,0,NA,,,,,,,,,,4/10/13,Top,0,,,,,,,,,
Tazo,TAZ,F,1,5/23/14,3,NA,12/26/15,0,NA,,,,,,,,,,4/27/13,Tea,0,,,,,,,,,
Zabeeb,ZAB,F,1,6/5/14,3,NA,12/26/15,0,NA,Y,7/31/14,,,,,,,,11/15/13,Zee,0,,,,,,,,,
Zygote,ZYG,F,1,6/8/14,3,NA,12/26/15,0,NA,Y,5/28/14,7/31/14,,,,,,,11/5/13,Zion,0,,,,,,,,,
Jarvey,JAR,M,1,7/20/14,3,NA,12/26/15,0,NA,Y,10/24/14,,,,,,,,5/11/12,Jools,0,,,,,,,,,
Tenesh,TEN,M,1,9/5/14,3,NA,12/26/15,0,NA,,,,,,,,,,9/19/13,Thandi,0,,,,,,,,,
Cinnamon,CIN,F,1,9/28/14,3,NA,12/26/15,0,NA,Y,9/20/14,,,,,,,,1/10/13,Ceylon,0,,,,,,,,,
Crunch,CRU,M,1,10/15/14,3,NA,10/15/14,0,NA,Y,9/22/14,,,,,,,,10/30/13,Coco,0,,,,,,,,,
Jax,JAX,F,1,10/27/14,3,NA,12/26/15,0,NA,Y,10/24/14,,,,,,,,3/28/13,Jinka,0,,,,,,,,,
Gaga,GAG,F,1,3/7/15,3,NA,12/26/15,0,NA,,,,,,,,,,6/13/13,Gaia,0,,,,,,,,,
Dinky,DIN,F,1,3/15/15,3,NA,12/26/15,0,NA,Y,3/15/15,3/19/15,3/28/15,,,,,,4/1/13,Diana,0,,,,,,,,,
Akira,AKI,M,1,3/18/15,3,NA,12/26/15,0,NA,Y,3/18/15,,,,,,,,3/7/14,Ani,0,,,,,,,,,
Daenarys,DAE,F,1,3/19/15,3,NA,12/26/15,0,NA,Y,3/15/15,3/19/15,3/28/15,,,,,,6/24/13,Dessie,0,,,,,,,,,
Aristotle,ARI,M,1,4/20/15,3,NA,12/26/15,0,NA,Y,3/18/15,,,,,,,,9/29/13,Alexandra,0,,,,,,,,,
Apollo,APO,M,1,4/20/15,3,NA,12/26/15,0,NA,Y,3/18/15,,,,,,,,11/3/13,Ant,0,,,,,,,,,
Giardia,GIA,M,1,4/20/15,3,NA,12/26/15,0,NA,,,,,,,,,,8/30/13,Gladys,0,,,,,,,,,
Gibsha,GIB,M,1,4/20/15,3,NA,12/26/15,0,NA,,,,,,,,,,6/18/13,Glenda,0,,,,,,,,,
Tdog,TDO,M,1,4/20/15,3,NA,12/26/15,0,NA,,,,,,,,,,8/13/13,Taffy,0,,,,,,,,,
Telek,TEL,F,1,5/18/15,3,NA,12/26/15,0,NA,,,,,,,,,,8/18/13,Trudy,0,,,,,,,,,
Millie,MIL,F,1,6/4/15,3,NA,12/26/15,0,NA,,,,,,,,,,12/10/13,Maze,0,,,,,,,,,
MacBeth,MAC,F,1,7/3/15,1,UN,12/26/15,0,NA,,,,,,,,,,9/2/14,Meena,0,,,,,,,,,
Tekle,TEK,M,0,NA,3,NA,3/27/08,0,0,Y,3/26/08,,,,,,,,1/15/08,Himanot,0,,,,,,,,,
Tobasco,TOB,M,3,NA,3,NA,4/12/08,0,NA,,,,,,,,,,4/7/06,Peri,0,,,,,,,,,
Wusha,WUS,F,3,NA,3,NA,6/26/08,0,NA,,,,,,,,,,6/18/07,Wudu,0,,,,,,,,,
Fritter,FRI,F,3,NA,3,NA,7/16/10,0,NA,,,,,,,,,,5/15/10,Farrah,0,,,,,,,,,
Hedwig,HED,?,3,NA,3,NA,1/31/13,0,NA,,,,,,,,,,7/14/12,Haunt,0,,,,,,,,,
Havock,HAV,?,3,NA,3,NA,1/31/13,0,NA,,,,,,,,,,9/3/12,Heksie,0,,,,,,,,,
Llq,LLQ,F,3,NA,3,NA,1/31/13,0,NA,,,,,,,,,,12/11/12,Lee,0,,,,,,,,,
Lll,LLL,M,3,NA,3,NA,1/31/13,0,NA,,,,,,,,,,12/4/12,Little,0,,,,,,,,,
Rupee,RUP,F,3,NA,3,NA,1/31/13,0,NA,,,,,,,,,,6/27/12,Rita,0,,,,,,,,,
Rosemary,ROS,F,3,NA,3,NA,1/31/13,0,NA,,,,,,,,,,4/3/12,Roxanne,0,,,,,,,,,
Rhyme,RHY,M,3,NA,3,NA,1/31/13,0,NA,,,,,,,,,,7/4/12,Ruby,0,,,,,,,,,
Burpee,BUR,F,3,NA,3,NA,4/29/15,0,NA,,,,,,,,,,6/1/14,Barbara,0,,,,,,,,,
Qweef,QWE,M,0,NA,0,NA,4/29/15,0,NA,N,,,,,,,,,10/1/14,Blarney,0,,,,,,,,,
Orchid,ORC,F,3,NA,3,NA,6/1/15,0,NA,,,,,,,,,,9/10/13,Oshkosh,0,,,,,,,,,
Ababa,Aba,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,11/26/15,Aiwa,0,,,,,,,,,
Achoo,ACH,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,11/11/15,Amelia,0,,,,,,,,,
Qwoffi,QWO,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,4/30/14,Bee,0,,,,,,,,,
Boulder,BOU,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,10/2/14,Beverly,0,,,,,,,,,
Beka,BEK,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,12/21/13,Bimbi,0,,,,,,,,,
Basil,BAS,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,5/25/14,Brindle,0,,,,,,,,,
Box,BOX,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,10/17/15,Bronte,0,,,,,,,,,
Bucket,BUC,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,7/13/14,Buffy,0,,,,,,,,,
Bajaj,BAJ,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,9/14/14,Buna,0,,,,,,,,,
Cristos,CRI,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,9/26/13,Carmen,0,,,,,,,,,
Cersei,CER,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,10/15/15,Cassie,0,,,,,,,,,
Cleo,CLE,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,6/13/14,Chuxi,0,,,,,,,,,
Dasher,DAS,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,12/25/15,Diana,0,,,,,,,,,
Gouder,GOU,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,10/14/15,Gaia,0,,,,,,,,,
Janice,JAN,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,11/1/15,Jinka,0,,,,,,,,,
Jemarcus,JEM,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,10/7/15,Jools,0,,,,,,,,,
Kokh,KOK,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,10/11/15,Keegle,0,,,,,,,,,
Kyte,KYT,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,11/21/14,Kylie,0,,,,,,,,,
Mohammed,MOH,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,9/9/14,Madeline,0,,,,,,,,,
Mekele,MEK,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,1/25/14,Midge,0,,,,,,,,,
Moyst,MOY,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,11/22/15,Midge,0,,,,,,,,,
Mastika,MAS,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,9/20/14,Mimi,0,,,,,,,,,
Mebet,MEB,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,2/25/14,Moira,0,,,,,,,,,
Muckluck,MUC,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,1/1/14,Monica,0,,,,,,,,,
Myrtle,MYR,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,9/10/14,Moo,0,,,,,,,,,
Myte,MYT,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,12/8/14,Mouse,0,,,,,,,,,
Mowtat,MOW,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,8/16/14,Munchkin,0,,,,,,,,,
Niblet,NIB,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,7/30/15,Nadia,0,,,,,,,,,
Neena,NEE,F,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,3/5/15,Nardos,0,,,,,,,,,
NoNo,NON,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,11/12/14,Naughty,0,,,,,,,,,
Nugget,NUG,M,3,NA,3,NA,12/26/15,0,NA,,,,,,,,,,10/1/14,Noggin,0,,,,,,,,,
